"","protid","Organism","Taxonomic.lineage","Kingdom","Phylum","Order"
"343","B2VYQ0","Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Pyrenophora (genus), Pyrenophora tritici-repentis (species)","Fungi","Ascomycota","Pleosporales"
"344","B5RTY7","Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), CUG-Ser1 clade (no rank), Debaryomycetaceae (family), Debaryomyces (genus), Debaryomyces hansenii (species)","Fungi","Ascomycota","Saccharomycetales"
"345","B6HRQ7","Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Penicillium (genus), Penicillium chrysogenum species complex (no rank), Penicillium rubens (species)","Fungi","Ascomycota","Eurotiales"
"346","B8M9F5","Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Trichocomaceae (family), Talaromyces (genus), Talaromyces sect. Talaromyces (no rank), Talaromyces stipitatus (species)","Fungi","Ascomycota","Eurotiales"
"347","C0NN87","Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Ajellomycetaceae (family), Histoplasma (genus), Ajellomyces capsulatus (species)","Fungi","Ascomycota","Onygenales"
"348","C1G3I9","Paracoccidioides brasiliensis (strain Pb18)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Onygenales incertae sedis (no rank), Paracoccidioides (genus), Paracoccidioides brasiliensis (species)","Fungi","Ascomycota","Onygenales"
"349","C1H8H6","Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Onygenales incertae sedis (no rank), Paracoccidioides (genus), Paracoccidioides lutzii (species)","Fungi","Ascomycota","Onygenales"
"350","C4JDU9","Uncinocarpus reesii (strain UAMH 1704)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Onygenaceae (family), Uncinocarpus (genus), Uncinocarpus reesii (species)","Fungi","Ascomycota","Onygenales"
"351","C4Y9V7","Clavispora lusitaniae (strain ATCC 42720) (Yeast) (Candida lusitaniae)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), CUG-Ser1 clade (no rank), Metschnikowiaceae (family), Clavispora (genus), Clavispora lusitaniae (species)","Fungi","Ascomycota","Saccharomycetales"
"352","C5FEC2","Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Arthrodermataceae (family), Microsporum (genus), Arthroderma otae (species)","Fungi","Ascomycota","Onygenales"
"353","D4ATY3","Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Arthrodermataceae (family), Trichophyton (genus), Arthroderma benhamiae (species)","Fungi","Ascomycota","Onygenales"
"354","D4DAD1","Trichophyton verrucosum (strain HKI 0517)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Arthrodermataceae (family), Trichophyton (genus), Trichophyton verrucosum (species)","Fungi","Ascomycota","Onygenales"
"355","D5GPJ5","Tuber melanosporum (strain Mel28) (Perigord black truffle)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Tuberaceae (family), Tuber (genus), Tuber melanosporum (species)","Fungi","Ascomycota","Pezizales"
"356","D8PPU2","Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Schizophyllineae (suborder), Schizophyllaceae (family), Schizophyllum (genus), Schizophyllum commune (species)","Fungi","Basidiomycota","Agaricales"
"357","E3K1A3","Puccinia graminis f. sp. tritici (strain CRL 75-36-700-3 / race SCCL) (Black stem rust fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Pucciniomycetes (class), Pucciniales (order), Pucciniaceae (family), Puccinia (genus), Puccinia graminis (species), Puccinia graminis f. sp. tritici (no rank)","Fungi","Basidiomycota","Pucciniales"
"358","E5ADV7","Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Leptosphaeriaceae (family), Plenodomus (genus), Plenodomus lingam/Leptosphaeria maculans species complex (no rank), Leptosphaeria maculans (species)","Fungi","Ascomycota","Pleosporales"
"359","E5R2Y8","Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Onygenales (order), Arthrodermataceae (family), Nannizzia (genus), Arthroderma gypseum (species)","Fungi","Ascomycota","Onygenales"
"360","E6R025","Cryptococcus gattii serotype B (strain WM276 / ATCC MYA-4071) (Filobasidiella gattii) (Cryptococcus bacillisporus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus gattii species complex (no rank), Cryptococcus gattii VGI (species)","Fungi","Basidiomycota","Tremellales"
"361","F0WRQ9","Albugo laibachii Nc14","cellular organisms (no rank), Eukaryota (superkingdom), Sar (no rank), Stramenopiles (no rank), Oomycota (phylum), Albuginales (order), Albuginaceae (family), Albugo (genus), Albugo laibachii (species)","no_kingdom_rank","Oomycota","Albuginales"
"362","F4NW25","Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Rhizophydiales (order), Rhizophydiales incertae sedis (no rank), Batrachochytrium (genus), Batrachochytrium dendrobatidis (species)","Fungi","Chytridiomycota","Rhizophydiales"
"363","F4REH5","Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Pucciniomycetes (class), Pucciniales (order), Melampsoraceae (family), Melampsora (genus), Melampsora laricis-populina (species)","Fungi","Basidiomycota","Pucciniales"
"364","F8NDU3","Serpula lacrymans var. lacrymans (strain S7.9) (Dry rot fungus)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Boletales (order), Coniophorineae (suborder), Serpulaceae (family), Serpula (genus), Serpula lacrymans (species), Serpula lacrymans var. lacrymans (varietas)","Fungi","Basidiomycota","Boletales"
"365","F9WW78","Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Zymoseptoria (genus), Zymoseptoria tritici (species)","Fungi","Ascomycota","Mycosphaerellales"
"366","G1XP43","Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Orbiliomycetes (class), Orbiliales (order), Orbiliaceae (family), Orbilia (genus), Orbilia oligospora (species)","Fungi","Ascomycota","Orbiliales"
"367","G8Y7R5","Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695) (Hybrid yeast)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), CUG-Ser1 clade (no rank), Debaryomycetaceae (family), Millerozyma (genus), Millerozyma farinosa (species)","Fungi","Ascomycota","Saccharomycetales"
"368","H6C2R9","Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Chaetothyriomycetidae (subclass), Chaetothyriales (order), Herpotrichiellaceae (family), Exophiala (genus), Exophiala dermatitidis (species)","Fungi","Ascomycota","Chaetothyriales"
"369","I1BP13","Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) (Mucormycosis agent) (Rhizopus arrhizus var. delemar)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Rhizopodaceae (family), Rhizopus (genus), Rhizopus delemar (species)","Fungi","Mucoromycota","Mucorales"
"370","I4Y5Y2","Wallemia mellicola (strain ATCC MYA-4683 / CBS 633.66) (Wallemia sebi (CBS 633.66))","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Wallemiomycotina (subphylum), Wallemiomycetes (class), Wallemiales (order), Wallemiaceae (family), Wallemia (genus), Wallemia mellicola (species)","Fungi","Basidiomycota","Wallemiales"
"371","J4HWB6","Fibroporia radiculosa","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Polyporales (order), Fibroporiaceae (family), Fibroporia (genus)","Fungi","Basidiomycota","Polyporales"
"372","J9VDB8","Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Filobasidiella neoformans var. grubii)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus neoformans species complex (no rank), Cryptococcus neoformans (species), Cryptococcus neoformans var. grubii (varietas)","Fungi","Basidiomycota","Tremellales"
"373","K5WP81","Phanerochaete carnosa (strain HHB-10118-sp) (White-rot fungus) (Peniophora carnosa)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Polyporales (order), Phanerochaetaceae (family), Phanerochaete (genus), Phanerochaete carnosa (species)","Fungi","Basidiomycota","Polyporales"
"374","K9GI51","Penicillium digitatum (strain Pd1 / CECT 20795) (Green mold)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Penicillium (genus), Penicillium digitatum (species)","Fungi","Ascomycota","Eurotiales"
"375","M2N0J1","Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762))","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Teratosphaeriaceae (family), Baudoinia (genus), Baudoinia panamericana (species)","Fungi","Ascomycota","Mycosphaerellales"
"376","M2T6T0","Cochliobolus sativus (strain ND90Pr / ATCC 201652) (Common root rot and spot blotch fungus) (Bipolaris sorokiniana)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Bipolaris (genus), Cochliobolus sativus (species)","Fungi","Ascomycota","Pleosporales"
"377","M3B148","Pseudocercospora fijiensis (strain CIRAD86) (Black leaf streak disease fungus) (Mycosphaerella fijiensis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Pseudocercospora (genus), Pseudocercospora fijiensis (species)","Fungi","Ascomycota","Mycosphaerellales"
"378","M3C1S2","Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Sphaerulina (genus), Sphaerulina musiva (species)","Fungi","Ascomycota","Mycosphaerellales"
"379","M5EAS4","Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Malasseziomycetes (class), Malasseziales (order), Malasseziaceae (family), Malassezia (genus), Malassezia sympodialis (species)","Fungi","Basidiomycota","Malasseziales"
"380","M7P733","Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), Taphrinomycotina (subphylum), Pneumocystidomycetes (class), Pneumocystidales (order), Pneumocystidaceae (family), Pneumocystis (genus), Pneumocystis murina (species)","Fungi","Ascomycota","Pneumocystidales"
"381","M7WVP2","Rhodosporidium toruloides (strain NP11) (Yeast) (Rhodotorula gracilis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Sporidiobolales (order), Sporidiobolaceae (family), Rhodotorula (genus), Rhodosporidium toruloides (species)","Fungi","Basidiomycota","Sporidiobolales"
"382","N4XIG5","Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T) (Southern corn leaf blight fungus) (Bipolaris maydis)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Bipolaris (genus), Cochliobolus heterostrophus (species)","Fungi","Ascomycota","Pleosporales"
"383","P42023","Pneumocystis carinii","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), Taphrinomycotina (subphylum), Pneumocystidomycetes (class), Pneumocystidales (order), Pneumocystidaceae (family), Pneumocystis (genus)","Fungi","Ascomycota","Pneumocystidales"
"384","Q0CSW2","Aspergillus terreus (strain NIH 2624 / FGSC A1156)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Circumdati (subgenus), Aspergillus terreus (species)","Fungi","Ascomycota","Eurotiales"
"385","Q2UUP3","Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Circumdati (subgenus), Aspergillus oryzae (species)","Fungi","Ascomycota","Eurotiales"
"386","Q38F11","Trypanosoma brucei brucei (strain 927/4 GUTat10.1)","cellular organisms (no rank), Eukaryota (superkingdom), Discoba (no rank), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Trypanozoon (subgenus), Trypanosoma brucei (species), Trypanosoma brucei brucei (subspecies)","no_kingdom_rank","Euglenozoa","Trypanosomatida"
"387","Q4D083","Trypanosoma cruzi (strain CL Brener)","cellular organisms (no rank), Eukaryota (superkingdom), Discoba (no rank), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Schizotrypanum (subgenus), Trypanosoma cruzi (species)","no_kingdom_rank","Euglenozoa","Trypanosomatida"
"388","Q4E0W5","Trypanosoma cruzi (strain CL Brener)","cellular organisms (no rank), Eukaryota (superkingdom), Discoba (no rank), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Schizotrypanum (subgenus), Trypanosoma cruzi (species)","no_kingdom_rank","Euglenozoa","Trypanosomatida"
"389","Q4WQN0","Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Fumigati (subgenus), Aspergillus fumigatus (species)","Fungi","Ascomycota","Eurotiales"
"390","Q560W3","Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus neoformans species complex (no rank), Cryptococcus neoformans (species), Cryptococcus neoformans var. neoformans (varietas)","Fungi","Basidiomycota","Tremellales"
"391","Q59QT2","Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), CUG-Ser1 clade (no rank), Debaryomycetaceae (family), Candida/Lodderomyces clade (no rank), Candida (genus), Candida albicans (species)","Fungi","Ascomycota","Saccharomycetales"
"392","Q5BBX7","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Nidulantes (subgenus), Emericella nidulans (species)","Fungi","Ascomycota","Eurotiales"
"393","Q5KPW4","Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus neoformans species complex (no rank), Cryptococcus neoformans (species), Cryptococcus neoformans var. neoformans (varietas)","Fungi","Basidiomycota","Tremellales"
"394","R0K4K8","Exserohilum turcicum (strain 28A) (Northern leaf blight fungus) (Setosphaeria turcica)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Exserohilum (genus), Exserohilum turcicum (species)","Fungi","Ascomycota","Pleosporales"
"395","R7Z3L8","Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Coniosporium (genus), Coniosporium apollinis (species)","Fungi","Ascomycota","no_order_rank"
"396","R9AE54","Wallemia ichthyophaga (strain EXF-994 / CBS 113033)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Wallemiomycotina (subphylum), Wallemiomycetes (class), Wallemiales (order), Wallemiaceae (family), Wallemia (genus), Wallemia ichthyophaga (species)","Fungi","Basidiomycota","Wallemiales"
"397","R9P4N6","Pseudozyma hubeiensis (strain SY62) (Yeast)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Pseudozyma (genus), Pseudozyma hubeiensis (species)","Fungi","Basidiomycota","Ustilaginales"
"398","S3DDV0","Glarea lozoyensis (strain ATCC 20868 / MF5171)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Helotiaceae (family), Glarea (genus), Glarea lozoyensis (species)","Fungi","Ascomycota","Helotiales"
